num,tutorial_batch,happy1,ID,time,major,Distance,direction,born,sports,aware,morning_drink,morning_drink2,breakfast,sleep,siblings,siblings_number,pets,beer,coffee,Pineapple_Pizza,Pinky,OS,hand,energy,shoes,phone,Apartment_Size,rooms,apps,countries,CB,Food_Money,Season,Drink_Coffee,height,bother,happy2
241,2024,7,lotze24,12.15,GESS,2.4,N,500.0,6.0,drowsy,tea,other,yes,7,yes,1,2.0,4.0,4,Yes,7.0,Apple,22,8.0,7.0,14.9,11,3.0,81.0,17.0,yes,280.0,Winter,milk,182.0,3,7
242,2024,7,pfael10,12.15,UWI,3.0,S,373.0,6.0,energized,juice,other,yes,8,yes,1,,3.0,3,Yes,5.0,Neither,17,9.0,6.0,16.0,350,8.0,43.0,12.0,yes,180.0,Spring,milk,172.0,5,7
243,2024,3,birke17,12.15,UWI,2.0,N,152.0,4.0,drowsy,Coffee,coffee,yes,7,yes,1,,5.0,5,No,6.0,Apple,20.5,5.0,15.0,15.0,90,3.0,87.0,14.0,yes,150.0,Spring,milk,170.0,7,5
244,2024,7,ihlwe1,12.15,UWI,2.6,NW,74.9,3.0,awake,tea,other,yes,8,yes,1,3.0,3.0,4,No,5.0,Microsoft,17,5.0,4.0,16.5,61,5.0,21.0,14.0,No,180.0,Spring,black,167.0,3,7
245,2024,8,bahnh117,12.15,UWI,0.3,SW,100.0,9.0,awake,coffee,coffee,yes,7,yes,1,1.0,3.0,3,Yes,6.0,Apple,17,9.0,8.0,15.0,140,5.0,90.0,14.0,yes,180.0,Spring,milk,178.0,6,8
246,2024,4,ilmen3,12.15,UWI,2.8,N,134.0,4.0,drowsy,Cappuccino,coffee,yes,7,yes,1,1.0,5.0,5,do_not_mind,6.0,Apple,18,6.0,12.0,15.0,70,2.0,110.0,15.0,yes,200.0,Spring,milk,175.0,7,5
247,2024,6,pann56,12.15,GESS,2.2,SE,1085.0,4.0,awake,coffee,coffee,yes,8,yes,3,0.0,3.0,3,do_not_mind,5.5,Apple,20,7.0,8.0,13.76,80,2.0,78.0,21.0,yes,150.0,Summer,milk,170.0,2,8
248,2024,6,rvek2,12.15,UWI,2.0,SE,104.0,3.0,drowsy,tea,other,yes,7,yes,1,1.0,3.0,3,do_not_mind,6.5,Microsoft,18,5.0,6.0,15.4,60,1.0,62.0,14.0,yes,180.0,Summer,milk,200.0,5,5
249,2024,5,altep19,12.15,UWI,1.5,NE,394.0,2.0,tired,tea,other,yes,7,no,0,4.0,2.0,3,Yes,6.5,Both,17.5,5.0,12.0,16.0,120,4.0,50.0,7.0,No,300.0,Summer,sugar_milk,173.0,3,5
250,2024,9,wulfs,12.15,UWI,0.4,NW,133.0,7.0,awake,water,water,no,7,yes,2,4.0,3.0,5,No,7.0,Microsoft,16,8.0,10.0,15.0,66,2.0,45.0,13.0,yes,100.0,Summer,milk,168.0,8,6
251,2024,3,sauer54,12.15,UWI,2.1,SW,60.0,0.0,awake,water,water,no,7,yes,1,15.0,2.0,2,do_not_mind,6.0,Microsoft,20,4.0,25.0,17.0,115,1.0,80.0,2.0,No,150.0,Winter,sugar_milk,165.0,9,2
252,2024,5,todts11,12.15,UWI,2.0,N,60.0,2.0,tired,tea,other,yes,8,yes,1,2.0,2.0,2,No,6.0,Both,18.5,6.0,6.0,16.0,90,4.0,15.0,14.0,yes,200.0,Spring,sugar_milk,176.0,8,2
253,2024,6,amost17,12.15,GESS,0.6,NW,89.0,1.0,tired,water,water,yes,8,yes,1,0.0,2.0,1,Yes,6.0,Apple,20,6.0,10.0,13.0,20,0.0,31.0,18.0,yes,200.0,Summer,milk,165.0,8,7
254,2024,7,winze5,12.15,UWI,0.5,N,700.0,5.0,tired,water,water,yes,8,yes,1,4.0,2.0,3,do_not_mind,6.0,Microsoft,19,5.0,11.0,17.0,120,4.0,90.0,8.0,yes,250.0,Summer,Other,170.0,7,8
255,2024,7,aalbo2,12.15,GESS,0.5,SW,40.0,3.0,awake,tea,other,yes,8,yes,1,0.0,3.0,4,Yes,5.5,Microsoft,17.5,4.0,7.0,17.5,170,5.0,70.0,8.0,yes,160.0,Summer,Other,168.0,6,6
256,2024,4,kurf16,12.15,UWI,0.0,W,570.0,2.0,awake,coffee,coffee,yes,7,no,0,0.0,3.0,4,do_not_mind,6.0,Microsoft,18,6.0,10.0,15.0,140,5.0,75.0,10.0,yes,300.0,Summer,milk,158.0,5,4
257,2024,6,moord1,12.15,UWI,2.0,N,61.0,5.0,awake,Chocolate,other,yes,7,yes,1,3.0,3.0,3,do_not_mind,6.0,Microsoft,14,4.0,5.0,14.5,90,4.0,54.0,6.0,yes,150.0,Summer,milk,170.0,7,6
258,2024,9,hinte20,12.15,UWI,100.0,NE,100.0,3.0,awake,Chocolate,other,no,6,yes,2,2.0,4.0,2,No,7.0,Apple,15,9.0,5.0,15.5,140,3.0,176.0,13.0,yes,70.0,Summer,milk,194.0,7,9
259,2024,8,oeste13,12.15,UWI,3.5,NW,256.0,7.0,drowsy,black_tea,black_tea,yes,7,yes,1,9.0,4.0,4,Yes,6.4,Apple,18,4.0,8.0,15.7,90,3.0,168.0,8.0,yes,300.0,Spring,black,178.0,6,7
260,2024,7,kiebi12,12.15,UWI,2.0,S,63.0,2.0,awake,tea,other,yes,7,yes,1,0.0,3.0,4,do_not_mind,6.0,Microsoft,16,4.0,8.0,14.0,130,2.0,30.0,7.0,yes,50.0,Spring,sugar_milk,164.0,6,5
261,2024,6,lneb34,12.15,UWI,1.5,N,150.0,4.0,tired,black_tea,black_tea,yes,8,yes,2,4.0,3.0,3,No,6.0,Microsoft,18.5,6.0,8.0,15.0,80,4.0,40.0,15.0,No,150.0,Summer,sugar_milk,169.0,3,6
262,2024,8,wohwi53,12.15,GESS,58.0,N,8338.0,2.0,awake,Juice,other,no,7,yes,3,3.0,5.0,5,Yes,5.0,Apple,16,8.0,12.0,15.0,85,2.0,50.0,12.0,yes,250.0,Summer,sugar_milk,170.0,7,6
263,2024,7,grli,12.15,UWI,1.5,SE,372.0,1.0,awake,tea,other,yes,8,yes,1,0.0,2.0,2,No,6.0,Microsoft,7,5.0,7.0,7.0,100,4.0,80.0,20.0,yes,250.0,Spring,Other,170.0,6,7
264,2024,7,emila35,12.15,UWI,0.75,W,50.0,3.0,awake,water,water,yes,8,yes,2,2.0,1.0,1,do_not_mind,6.0,Microsoft,20.5,5.0,8.0,15.0,17,6.0,145.0,7.0,yes,120.0,Winter,Other,173.0,5,7
265,2024,8,rohrb15,12.15,UWI,0.5,N,86.0,4.0,tired,Water,water,yes,8,yes,3,16.0,2.0,2,Yes,5.0,Both,17,6.0,3.0,16.0,220,8.0,15.0,16.0,yes,200.0,Summer,sugar_milk,169.0,10,8
266,2024,7,anden1a,12.15,UWI,0.75,W,90.0,3.0,awake,Chocolate,other,yes,7,yes,1,0.0,1.0,2,do_not_mind,5.5,Microsoft,18.5,6.0,10.0,12.0,17,6.0,160.0,12.0,yes,160.0,Summer,Other,168.0,8,7
267,2024,9,amplu11,12.15,GESS,0.0,SW,290.0,4.0,energized,black_tea,black_tea,yes,8,yes,1,2.0,5.0,5,Yes,6.0,Neither,16,9.0,20.0,15.0,17,5.0,103.0,17.0,yes,170.0,Fall,milk,178.0,8,10
268,2024,7,lange31a,12.15,UWI,16.0,W,15.0,3.0,tired,coffee,coffee,no,8,yes,2,3.0,4.0,4,do_not_mind,5.9,Apple,18,7.0,8.0,13.5,75,1.0,,16.0,yes,200.0,Spring,milk,162.0,7,7
269,2024,8,tanne10,12.15,UWI,1.0,S,714.0,5.0,energized,tea,other,yes,8,yes,1,0.0,2.0,2,No,6.0,Apple,18,6.0,6.0,15.0,35,5.0,115.0,10.0,yes,150.0,Spring,sugar_milk,174.0,8,9
270,2024,6,gunde6a,12.15,UWI,0.65,N,573.0,4.0,tired,coffee,coffee,yes,7,yes,2,0.0,2.0,3,Yes,6.0,Microsoft,18,4.0,9.0,10.0,120,4.0,50.0,15.0,No,150.0,Spring,milk,174.0,4,4
271,2024,3,engl59,12.15,UWI,1.0,N,482.0,1.0,awake,coffee,coffee,yes,8,yes,2,3.0,3.0,3,Yes,7.0,Microsoft,18,6.0,9.0,14.0,,4.0,32.0,12.0,yes,300.0,Summer,milk,174.0,7,4
272,2024,3,rntg2,12.15,UWI,2.3,N,347.0,5.0,drowsy,tea,other,yes,7,yes,1,0.0,2.0,2,Yes,5.0,Apple,16,6.0,10.0,15.0,100,2.0,66.0,21.0,yes,100.0,Summer,milk,163.0,6,5
273,2024,6,tilsit4,12.15,UWI,0.2,NE,335.0,2.0,tired,tea,other,yes,7,no,0,0.0,1.0,1,Yes,6.0,Apple,17.5,6.0,15.0,15.0,90,2.0,25.0,10.0,yes,250.0,Spring,milk,163.0,6,6
274,2024,3,r25a,12.15,UWI,1087.4,S,279.4,0.0,drowsy,green_tea,other,yes,7,no,0,6.0,0.0,2,Yes,5.0,Microsoft,20,3.0,3.0,15.4,,5.0,81.0,7.0,yes,270.0,Spring,milk,177.0,9,5
275,2024,5,humme123,12.15,UWI,0.0,NW,392.0,5.0,drowsy,tea,other,no,7,yes,0,3.0,3.0,3,do_not_mind,6.5,Neither,23.5,7.0,5.0,15.4,55,2.0,116.0,10.0,yes,200.0,Summer,sugar_milk,196.0,7,7
276,2024,8,porta34,12.15,UWI,3.7,NW,200.0,6.0,awake,Milk,other,yes,7,yes,1,0.0,1.0,1,do_not_mind,6.5,Microsoft,19,9.0,10.0,17.0,23,0.0,200.0,2.0,yes,200.0,Winter,Other,183.0,9,9
277,2024,8,habic27,12.15,UWI,0.7,SW,140.0,1.0,awake,Matcha,other,yes,7,yes,1,0.0,2.0,1,Yes,5.0,Both,18,7.0,8.0,15.5,70,4.0,50.0,11.0,yes,130.0,Spring,milk,175.0,10,8
278,2024,7,karlm6,12.15,UWI,0.5,SW,736.0,4.0,awake,tea,other,yes,9,yes,1,3.0,3.0,3,Yes,6.0,Both,20,7.0,5.0,12.0,67,2.0,50.0,16.0,yes,70.0,Fall,milk,177.0,7,7
279,2024,7,bluec4,12.15,UWI,16.0,NE,480.0,2.0,awake,tea,other,yes,8,yes,1,0.0,2.0,3,Yes,6.0,Apple,22,6.0,10.0,15.0,60,1.0,70.0,25.0,yes,200.0,Summer,sugar_milk,182.0,7,6
280,2024,5,humbo21,12.15,UWI,0.6,W,314.0,7.0,drowsy,Cappuccino,coffee,yes,8,yes,1,7.0,2.0,2,do_not_mind,5.0,Apple,15,5.0,11.0,15.7,140,5.0,80.0,17.0,yes,350.0,Spring,milk,156.0,6,5
281,2024,5,etten34,12.15,UWI,2.2,NW,193.0,3.0,drowsy,water,water,yes,7,yes,4,13.0,4.0,4,No,5.0,Microsoft,19,5.0,4.0,16.5,350,8.0,97.0,8.0,yes,150.0,Summer,Other,161.0,7,4
282,2024,8,mhle3,12.15,UWI,1.2,NE,90.0,3.0,tired,black_tea,black_tea,yes,7,yes,3,4.0,1.0,1,do_not_mind,5.0,Apple,16,4.0,7.0,9.0,212,8.0,8.0,8.0,yes,200.0,Spring,milk,173.0,4,4
283,2024,4,fache128,12.15,UWI,38.0,NW,54.0,1.0,tired,tea,other,yes,9,yes,3,6.0,2.0,2,do_not_mind,5.0,Both,18,5.0,6.0,16.0,400,2.0,45.0,8.0,yes,200.0,Summer,milk,168.0,1,6
284,2024,6,pferd19,12.15,UWI,51.0,NW,20.0,2.0,tired,tea,other,yes,8,no,0,4.0,2.0,2,do_not_mind,6.0,Microsoft,15,5.0,7.0,16.0,49,0.0,31.0,2.0,yes,200.0,Spring,Other,173.0,3,6
285,2024,7,thing19,12.15,UWI,55.0,SW,45.0,3.0,energized,Coffee,coffee,yes,7,yes,2,0.0,1.0,1,do_not_mind,6.0,Microsoft,16,7.0,9.0,14.0,25,4.0,27.0,4.0,yes,40.0,Spring,milk,163.0,1,7
286,2024,7,indus41,12.15,UWI,0.4,SE,351.0,2.0,awake,coffee,coffee,yes,7,yes,1,0.0,4.0,4,do_not_mind,6.0,Microsoft,18,7.0,6.0,15.4,62,2.0,60.0,9.0,yes,250.0,Spring,milk,173.0,6,7
